Question,Reponse,Paragraphe_Source
Who conducted the study?,"clinicians, public health doctors, radiologists, laboratory technicians and nurses",7
What medium was used to collect the sputum samples?,Löwenstein-Jensen medium,7
What was the response rate for the study?,95% to 97%,7
What was the average age of a study participant?,46 years,7
What was the prevalence rate in Shandong in 2010 for sputum positive cases of tuberculosis?,22.1,7
What was the most striking finding of the study regarding tuberculosis patients?,a large proportion of TB patients did not present consistent cough,7
How many cases of sputum positive tuberculosis patients had no persistent cough?,45%,7
How many tuberculosis patients in Shandong were over 65 years old?,over half,7
What enzymes have been reported to be linked with severity of infection and various pathological conditions caused by microorganisms?,cysteine proteases,8
At what temperatures was the assay completed?,"32uC, 37uC, 42uC",8
What criteria sets the guideline for drug-like properties?,Lipinski's ''Rule of five'',8
What could be novel candidates as potent inhibitors of papain like cysteine proteases in resistant microorganisms?,"1-substituted pyridylimidazo[1,5-a]pyridine derivatives",8
What method is useful in administering small molecules for systemic delivery to the body?,Intranasal,9
Why is the nasal mucosa useful in the delivery of small molecules into the body?,the surface area can result in rapid absorption of the medication into the blood,9
What are the most common methods of inhaled delivery of medications?,Metered dose inhalers (MDIs) and dry powder inhalers (DPIs),9
What medications have shown good promise to in vivo delivery via dry powder inhalers?,insulin [39] and low-molecular-weight heparin [40],9
How are siRNAs typically delivered for systemic effect?,intratracheal or intranasal delivery,9
What structures form the human airway?,"respiratory bronchioles, alveolar ducts, and alveolar sacs",9
What size of particle has been shown to be most effective in the delivery to the lower airway?,1-5 μm,9
What are the essential conditions in siRNA delivery to effectively produce gene silencing in the lungs?,"delivered to their site of action, be stable, enter the target cells, and be present in the cytoplasm at sufficient concentration",9
How long is the SAIBK gene?,"27,534 nucleotides",10
How many open reading frames are in the SAIBK gene?,10,10
What virus has the closest genetic identity with the SAIBK gene?,Chinese IBV strain SC021202,10
How many surgical masks or respirators have past studies projected will be required for a pandemic in the United States?,an estimated 7.3 billion,11
What is the acronym MERS-CoV?,Middle East respiratory syndrome coronavirus,11
What are the critical factors that determine the effect of an epidemic?,Transmissibility and severity,11
When did the World Health Organization (WHO) officially declare the 2019-nCoV epidemic as a Public Health Emergency of International Concern?,"January 30, 2020",11
What influenza virus was identified in China in 2013?,H7N9,11
"What past research has been done on severe, single-wave pandemics?","After a new influenza virus (H7N9) was identified in China in 2013, a series of modeling articles described the effect of, and level of preparedness for, a severe, single-wave pandemic in the United States.",11
What is a clinical attack rate?,the proportion of individuals who become ill with or die from a disease in a population initially uninfected,11
What was the clinical attack rate in the 2009 H1N1 pandemic?,20%,11
What is the estimated R0 of COVID-19?,2.2,11
"How many ventilators have past studies projected will be required for a pandemic in the United States?
",35 000 to 60 000,11
What viruses have been responsible for most common childhood acute respiratory track infections (ARTI)?,"The most frequently reported viruses include respiratory syncytial virus (RSV), influenza viruses A and B (IAV, IBV), parainfluenza viruses (PIVs), human rhinovirus (HRV) and adenovirus (ADV), ",12
Are there any vaccines against to protect against respiratory viral infections?,"Currently, there are no approved vaccines or medications available for most of the respiratory viruses",12
Which type of bacteria are implicated in carrying genes of drug resistance?,Gammaproteobacteria,13
What may be a likely cause of sink-to-sink spreading of pathogens in the hospital setting?,via a common sanitary pipe,13
